,Anode Voltage (V),Anode Voltage Error (V),Coil Current (A),Coil Current Error (A),Magnetic Field Strength (H),Magnetic Field Strength Error (H),B^2 (H^2),B^2 Error (H^2)
0,299.9,0.1,2.37,0.001,0.0017976185496888155,8.334828429702406e-05,3.2314324501853205e-06,2.9965684387413494e-07
1,290.2,0.1,2.311,0.001,0.0017528677081564779,8.128142220654594e-05,3.072545202297743e-06,2.8495116051777445e-07
2,279.8,0.1,2.227,0.001,0.0016891546456358614,7.833914229866166e-05,2.8532434168732126e-06,2.6465385229782634e-07
3,270.5,0.1,2.028,0.001,0.0015382153665691636,7.137077353228243e-05,2.3661065139495065e-06,2.1956724114256917e-07
4,259.9,0.1,1.751,0.001,0.0013281139580190362,6.167735555178571e-05,1.7638866854849901e-06,1.63829113604059e-07
5,250.4,0.1,1.678,0.001,0.0012727442727332625,5.912438260384567e-05,1.6198779837753215e-06,1.5050043867586943e-07
6,240.1,0.1,1.563,0.001,0.0011855180561871808,5.510434051478152e-05,1.4054530615458314e-06,1.306543813091206e-07
7,230.4,0.1,1.481,0.001,0.001123321971345627,5.2239432413525314e-05,1.2618522513078256e-06,1.173634044014758e-07
8,220.5,0.1,1.395,0.001,0.0010580919311459483,4.923644459576751e-05,1.1195585347561622e-06,1.0419336949019226e-07
9,210.2,0.1,1.275,0.001,0.0009670732704022108,4.504972812343286e-05,9.352307103264274e-07,8.713277581411733e-08
10,200.4,0.1,1.152,0.001,0.0008737791431398798,4.076376574926552e-05,7.634899909862626e-07,7.123705661509601e-08
